sample_id,engine_temp,battery_voltage,rpm,tire_pressure_fl,tire_pressure_fr,tire_pressure_rl,tire_pressure_rr,oil_pressure,coolant_temp,fuel_level,label,label_name
0,117.55,11.44,5005,15.9,16.1,31.6,30.9,17.83,109.82,5.9,2,Critical
1,75.83,12.53,1973,30.2,33.9,34.6,30.6,55.73,78.09,44.3,0,Normal
2,95.3,11.9,3536,26.6,29.3,32.1,30.6,27.11,99.79,5.1,1,Warning
3,76.52,13.66,3266,34.5,34.9,35.5,33.5,69.82,75.67,86.8,0,Normal
4,94.68,11.88,4150,24.8,35.7,31.7,35.4,24.13,98.2,13.9,1,Warning
5,99.16,12.1,4006,41.0,31.0,35.1,30.8,32.92,102.53,10.8,1,Warning
6,82.9,13.34,2024,35.5,32.3,32.6,35.2,63.62,79.79,21.0,0,Normal
7,121.83,10.55,6055,20.2,20.8,32.2,32.1,17.18,118.8,3.5,2,Critical
8,81.82,14.29,2547,30.7,35.0,31.4,35.0,45.46,86.81,51.8,0,Normal
9,102.61,12.1,3686,41.4,30.6,28.5,35.7,30.85,102.49,17.4,1,Warning
10,76.43,12.99,3046,33.5,33.5,33.7,34.3,37.03,82.33,63.2,0,Normal
11,99.97,12.43,4444,39.5,34.6,29.5,35.5,29.55,103.34,12.8,1,Warning
12,101.39,12.37,3667,40.9,28.6,29.2,28.7,33.53,100.52,12.9,1,Warning
13,81.41,13.17,1385,33.0,32.2,35.2,35.6,42.68,77.0,82.8,0,Normal
14,78.59,12.88,3083,32.6,29.6,34.0,30.8,65.67,81.19,36.0,0,Normal
15,78.83,13.95,3028,29.6,35.2,34.6,35.1,59.44,88.48,62.0,0,Normal
16,83.2,13.64,711,35.3,35.7,29.0,30.5,41.31,90.63,67.8,0,Normal
17,81.1,13.32,1851,33.4,35.5,35.5,31.7,46.52,84.02,65.4,0,Normal
18,93.37,11.84,4711,27.9,29.4,32.5,33.4,26.67,102.35,14.4,1,Warning
19,119.02,10.01,5501,16.5,19.2,33.7,33.9,7.59,118.01,0.9,2,Critical
20,85.18,13.22,775,29.1,29.7,29.7,33.3,53.41,84.11,75.4,0,Normal
21,100.07,11.98,4230,40.7,34.2,28.6,32.1,25.4,107.06,16.7,1,Warning
22,115.99,11.09,6082,18.7,35.5,29.8,35.8,12.52,133.61,7.3,2,Critical
23,87.93,12.58,1507,33.8,31.3,29.5,31.4,59.9,77.44,78.0,0,Normal
24,117.12,10.28,5979,22.2,34.4,34.4,33.0,17.14,119.81,0.6,2,Critical
25,85.59,14.0,2901,30.5,35.5,32.1,33.5,35.08,94.87,42.5,0,Normal
26,100.89,12.43,4606,27.6,35.9,34.5,34.4,30.68,107.8,11.6,1,Warning
27,87.31,12.79,3194,29.7,35.0,32.5,32.0,52.52,79.0,56.6,0,Normal
28,86.08,13.29,2959,33.0,34.9,30.4,30.3,50.41,75.1,75.4,0,Normal
29,89.17,12.6,3282,29.7,34.9,35.3,35.9,63.07,90.59,71.4,0,Normal
30,88.09,13.04,1729,29.6,34.9,32.9,32.5,68.9,81.69,91.3,0,Normal
31,84.57,14.4,2645,31.1,34.0,31.0,32.8,53.43,79.95,47.8,0,Normal
32,87.98,12.63,798,35.2,34.6,35.2,33.6,46.29,93.13,43.9,0,Normal
33,78.68,13.14,2525,33.7,34.2,29.9,34.7,59.09,75.61,46.8,0,Normal
34,76.73,13.0,2324,29.4,32.9,33.1,31.0,45.26,79.58,94.9,0,Normal
35,75.32,13.41,2392,32.2,29.9,31.8,31.9,41.57,90.13,45.7,0,Normal
36,103.34,12.08,3818,26.8,34.5,34.4,35.1,23.16,97.29,18.1,1,Warning
37,96.51,11.93,3623,40.8,35.8,29.5,30.8,26.87,102.0,18.1,1,Warning
38,82.9,13.74,1352,30.7,35.9,35.1,34.2,39.8,75.6,34.0,0,Normal
39,83.62,13.37,1585,30.7,32.7,31.6,35.8,41.05,81.39,43.5,0,Normal
40,89.62,13.14,1646,29.4,31.5,30.9,33.3,42.19,92.77,94.4,0,Normal
41,107.31,11.12,5299,21.8,30.1,35.7,35.8,16.65,133.14,1.3,2,Critical
42,82.86,13.34,946,29.7,30.6,34.9,30.0,42.93,85.97,37.2,0,Normal
43,91.91,14.23,668,30.8,29.3,34.7,33.1,52.98,86.09,40.2,0,Normal
44,104.18,11.86,4097,38.0,33.2,31.9,34.8,33.76,101.78,19.7,1,Warning
45,76.01,14.42,3484,31.6,35.6,30.2,30.1,37.56,82.83,24.2,0,Normal
46,80.0,13.19,1912,32.5,35.9,30.6,32.4,40.23,82.0,77.4,0,Normal
47,88.32,13.91,2780,30.7,31.8,29.8,30.7,45.6,81.39,34.0,0,Normal
48,79.1,13.14,1050,35.1,31.0,32.9,34.5,62.43,83.77,58.1,0,Normal
49,96.9,12.26,4558,23.8,29.3,31.3,34.2,29.04,96.64,14.4,1,Warning
50,93.69,12.23,3886,40.5,32.3,33.0,31.7,33.41,96.91,19.7,1,Warning
51,82.59,14.23,2697,32.6,31.6,29.4,30.0,41.76,82.47,95.5,0,Normal
52,102.2,11.98,4106,26.3,31.8,29.4,29.7,33.0,96.1,18.0,1,Warning
53,79.66,12.57,1410,30.4,31.7,31.7,31.4,46.48,76.79,22.0,0,Normal
54,86.26,13.58,981,30.6,30.6,33.2,32.2,48.57,86.13,97.6,0,Normal
55,134.0,10.77,4835,18.9,32.2,35.5,35.3,7.36,111.08,2.5,2,Critical
56,95.6,12.31,4732,41.8,32.5,33.6,29.6,27.78,96.81,15.5,1,Warning
57,102.74,12.0,4445,37.4,35.0,34.5,28.1,29.02,106.96,14.0,1,Warning
58,96.2,11.93,4320,39.2,31.5,34.8,31.5,23.08,107.91,17.7,1,Warning
59,86.15,13.16,2383,35.2,33.2,33.9,31.6,40.59,81.41,97.1,0,Normal
60,102.41,11.86,4442,41.5,29.5,28.9,29.6,23.02,107.76,6.8,1,Warning
61,81.47,13.27,2389,29.4,33.6,32.5,32.2,60.17,90.17,87.7,0,Normal
62,101.65,12.28,3851,23.1,34.0,29.6,32.5,29.73,97.51,7.9,1,Warning
63,79.96,12.98,3123,32.2,33.8,35.7,31.1,61.64,75.46,28.3,0,Normal
64,107.04,11.42,5721,22.4,18.8,33.9,33.9,6.11,127.03,1.7,2,Critical
65,134.98,10.54,5288,19.0,32.2,30.7,33.0,13.21,120.0,7.9,2,Critical
66,75.75,14.14,2504,30.7,30.4,31.5,34.8,65.17,78.51,48.3,0,Normal
67,94.56,12.15,4220,40.8,28.6,29.4,32.3,31.03,102.17,10.3,1,Warning
68,77.62,13.35,2397,35.5,35.9,29.5,30.0,62.68,80.41,90.8,0,Normal
69,101.58,12.42,3649,41.7,34.2,30.8,30.9,28.1,104.09,13.4,1,Warning
70,96.8,12.48,4208,39.5,33.2,34.6,34.5,22.64,101.44,5.3,1,Warning
71,83.09,13.74,1799,32.3,31.0,32.1,33.8,36.4,90.9,42.6,0,Normal
72,104.61,12.32,3785,37.7,29.6,33.7,29.0,25.64,106.78,16.1,1,Warning
73,90.73,13.45,1064,34.4,30.7,34.9,33.1,48.79,86.13,62.6,0,Normal
74,90.03,13.84,1465,30.5,33.8,35.4,31.1,46.25,92.08,91.5,0,Normal
75,90.27,13.63,3265,31.1,29.8,32.9,31.4,63.07,92.59,57.8,0,Normal
76,93.28,12.34,4130,38.8,33.0,28.3,28.4,32.38,97.49,5.2,1,Warning
77,75.57,12.59,1357,29.6,32.8,29.9,33.5,62.2,94.41,95.9,0,Normal
78,87.54,12.84,1834,32.4,30.3,29.7,31.4,68.33,87.3,50.5,0,Normal
79,107.81,10.08,4930,20.6,16.0,29.1,29.2,11.89,123.08,4.6,2,Critical
80,79.84,14.29,1281,31.3,35.4,32.7,34.2,55.68,88.07,44.0,0,Normal
81,85.67,14.39,2927,31.8,35.7,32.7,29.2,44.1,87.43,32.5,0,Normal
82,104.63,11.97,3721,37.7,35.6,33.7,34.4,31.72,98.91,7.1,1,Warning
83,98.53,12.49,3626,39.5,28.9,35.6,32.4,33.45,106.43,5.2,1,Warning
