place_id,name,city,state,category,rating,entry_fee,duration,best_time,description
1,Marina Beach,Chennai,Tamil Nadu,nature,4.4,0,2-3 hrs,All Year,"Worlds second longest beach, sunrise view"
2,Kapaleeshwarar Temple,Chennai,Tamil Nadu,culture,4.7,0,1-2 hrs,All Year,Ancient Dravidian architecture temple
3,Government Museum Chennai,Chennai,Tamil Nadu,culture,4.4,20,2-3 hrs,All Year,"Bronze gallery, natural history exhibits"
4,Fort St George,Chennai,Tamil Nadu,culture,4.3,5,1-2 hrs,All Year,"17th century British fort, museum inside"
5,Valluvar Kottam,Chennai,Tamil Nadu,culture,4.2,0,1 hr,All Year,Memorial chariot for Tamil poet Thiruvalluvar
6,Semmozhi Poonga Botanical Garden,Chennai,Tamil Nadu,nature,4.3,20,2 hrs,All Year,"500+ plant species, peaceful walks"
7,Mahabalipuram Shore Temple,Mahabalipuram,Tamil Nadu,culture,4.7,40,2-3 hrs,Oct-Mar,UNESCO World Heritage 7th century temple
8,Five Rathas Mahabalipuram,Mahabalipuram,Tamil Nadu,culture,4.6,40,1-2 hrs,Oct-Mar,Monolithic rock-cut chariots
9,Arjunas Penance Mahabalipuram,Mahabalipuram,Tamil Nadu,culture,4.5,0,1 hr,Oct-Mar,Worlds largest bas-relief sculpture
10,Meenakshi Amman Temple,Madurai,Tamil Nadu,culture,4.9,0,2-3 hrs,All Year,Magnificent Dravidian architecture temple
11,Thirumalai Nayakkar Mahal,Madurai,Tamil Nadu,culture,4.6,50,1-2 hrs,All Year,17th century palace with Indo-Saracenic style
12,Gandhi Museum Madurai,Madurai,Tamil Nadu,culture,4.4,5,1-2 hrs,All Year,"Dedicated to Mahatma Gandhi, blood-stained dhoti"
13,Koodal Azhagar Temple,Madurai,Tamil Nadu,culture,4.5,0,1 hr,All Year,Three-storied Vishnu temple
14,Vaigai River Madurai,Madurai,Tamil Nadu,nature,4.0,0,1 hr,All Year,Scenic riverside walk
15,Marudhamalai Temple Coimbatore,Coimbatore,Tamil Nadu,culture,4.6,0,1-2 hrs,All Year,Hilltop Murugan temple with valley views
16,Dhyanalinga Temple Coimbatore,Coimbatore,Tamil Nadu,culture,4.8,0,1-2 hrs,All Year,Isha Foundation meditation space
17,Adiyogi Shiva Statue,Coimbatore,Tamil Nadu,culture,4.7,0,1 hr,All Year,Worlds largest bust statue 112 ft Shiva
18,Black Thunder Water Park,Mettupalayam,Tamil Nadu,adventure,4.3,700,4-6 hrs,All Year,South India largest water theme park
19,Siruvani Waterfalls,Coimbatore,Tamil Nadu,nature,4.5,30,2-3 hrs,Jul-Nov,One of sweetest water falls in world
20,Ooty Lake,Ooty,Tamil Nadu,nature,4.3,30,1-2 hrs,All Year,Boating on scenic artificial lake
21,Botanical Garden Ooty,Ooty,Tamil Nadu,nature,4.6,30,2-3 hrs,All Year,"36 acres, 650+ plant species, fossil tree"
22,Doddabetta Peak Ooty,Ooty,Tamil Nadu,nature,4.5,30,1-2 hrs,All Year,"Highest peak in Nilgiris 2637m, telescope"
23,Nilgiri Mountain Railway,Ooty,Tamil Nadu,adventure,4.8,250,3 hrs,All Year,UNESCO heritage toy train through hills
24,Rose Garden Ooty,Ooty,Tamil Nadu,nature,4.4,30,1-2 hrs,Apr-Jun,"20,000 varieties of roses, 4000+ species"
