restaurant_id,name,city,state,area,cuisine,veg_type,rating,cost_per_head,style,famous_dish
1,Saravana Bhavan Chennai,Chennai,Tamil Nadu,Anna Salai,South Indian,veg,4.5,250,budget,"Idli,Dosa,Sambar"
2,Murugan Idli Shop Chennai,Chennai,Tamil Nadu,T Nagar,South Indian,veg,4.6,180,budget,"Soft Idli,Podi Idli,Filter Coffee"
3,Peshawri ITC Grand Chola,Chennai,Tamil Nadu,Guindy,North Indian/Tandoor,non-veg,4.8,2500,luxury,"Dal Bukhara,Tandoori Platter"
4,Southern Spice Taj Coromandel,Chennai,Tamil Nadu,Nungambakkam,South Indian,both,4.7,2000,luxury,"Chettinad Chicken,Appam,Stew"
5,Cream Centre Chennai,Chennai,Tamil Nadu,Nungambakkam,Multi-cuisine,veg,4.3,600,comfort,"Chaat,Pasta,Mexican"
6,Hotel Palmshore Chennai,Chennai,Tamil Nadu,Marina Beach,Seafood,non-veg,4.4,800,comfort,"Crab Curry,Prawns Masala"
7,Anjappar Chettinad Restaurant,Chennai,Tamil Nadu,Egmore,Chettinad,non-veg,4.5,500,comfort,"Chettinad Mutton,Kozhi Curry"
8,Copper Chimney Chennai,Chennai,Tamil Nadu,Nungambakkam,North Indian,both,4.3,700,comfort,"Butter Chicken,Naan"
9,The Flying Elephant Park Hyatt,Chennai,Tamil Nadu,Velachery,Multi-cuisine,both,4.6,2200,luxury,"Live Cooking Stations,Seafood"
10,Junior Kuppanna Chennai,Chennai,Tamil Nadu,Anna Nagar,Tamil Nadu Home Food,non-veg,4.7,400,budget,"Mutton Kuzhambu,Rice,Rasam"
11,Ente Keralam Chennai,Chennai,Tamil Nadu,Velachery,Kerala,both,4.4,500,comfort,"Fish Curry,Appam,Puttu"
12,Surya Restaurant Madurai,Madurai,Tamil Nadu,Town Hall Road,South Indian,both,4.6,300,budget,"Idli,Biryani,Filter Coffee"
13,Amma Mess Madurai,Madurai,Tamil Nadu,Kamarajar Salai,Tamil Home Food,non-veg,4.7,250,budget,"Mutton Kuzhambu,Curd Rice"
14,Taj Restaurant Madurai,Madurai,Tamil Nadu,West Masi Street,Biryani,non-veg,4.5,350,budget,"Mutton Biryani,Chicken Biryani"
15,Dine More Madurai,Madurai,Tamil Nadu,Bypass Road,Multi-cuisine,both,4.3,600,comfort,"Tandoori,Pasta,Biriyani"
16,Meenakshi Bhavan Madurai,Madurai,Tamil Nadu,North Chitrai Street,South Indian,veg,4.4,200,budget,"Dosa,Pongal,Filter Coffee"
17,Hotel Jupiter Madurai,Madurai,Tamil Nadu,Goods Shed Road,South Indian,both,4.2,400,comfort,"Chettinad Meals,Parotta"
18,Hotel Annapoorna Coimbatore,Coimbatore,Tamil Nadu,East Arokiasamy Road,South Indian,veg,4.7,200,budget,"Tiffin,Meals,Filter Coffee"
19,Sree Annapoorna Sree Gowrishankar,Coimbatore,Tamil Nadu,Sathy Road,South Indian,veg,4.6,250,budget,"Idli,Sambar,Varieties"
20,Rams Restaurant Coimbatore,Coimbatore,Tamil Nadu,Gandhipuram,Multi-cuisine,both,4.3,600,comfort,"Tandoori,Biryani,Starters"
21,Hyderabad Biryani House Coimbatore,Coimbatore,Tamil Nadu,Town Hall Road,Biryani,non-veg,4.4,350,budget,Hyderabadi Dum Biryani
22,Sparky's Coimbatore,Coimbatore,Tamil Nadu,Avinashi Road,Continental/Cafe,both,4.2,700,comfort,"Burgers,Pasta,Desserts"
23,The Residency Restaurant Coimbatore,Coimbatore,Tamil Nadu,Avinashi Road,Multi-cuisine,both,4.5,900,comfort,"Buffet,Tandoori,Sea Food"
24,Sidewalk Cafe Ooty,Ooty,Tamil Nadu,Charring Cross,Cafe/Continental,veg,4.5,500,comfort,"Waffles,Pasta,Hot Chocolate"
25,Shinkows Chinese Restaurant Ooty,Ooty,Tamil Nadu,Charing Cross,Chinese,both,4.4,600,comfort,"Chow Mein,Fried Rice,Manchurian"
26,Hotel Ananda Bhavan Ooty,Ooty,Tamil Nadu,Charing Cross,South Indian,veg,4.3,180,budget,"Dosa,Idli,Filter Coffee"
27,Willy's Coffee Pub Ooty,Ooty,Tamil Nadu,Upper Bazaar,Cafe,veg,4.6,450,comfort,"Sandwiches,Coffee,Hot Chocolate"
28,Blue Hills Restaurant Ooty,Ooty,Tamil Nadu,Ettines Road,Multi-cuisine,both,4.2,500,comfort,"North Indian,Chinese,South Indian"
29,Garden Restaurant Ooty,Ooty,Tamil Nadu,Botanical Garden,South Indian,veg,4.1,200,budget,"Meals,Tiffin,Tea"
30,Carlton Hotel Restaurant Kodaikanal,Kodaikanal,Tamil Nadu,Lake Road,Multi-cuisine,both,4.6,1200,luxury,"Continental,Indian,Cheese Fondue"
31,Pastry Corner Kodaikanal,Kodaikanal,Tamil Nadu,PT Road,Bakery/Cafe,veg,4.5,300,budget,"Chocolate Cake,Croissant,Coffee"
32,Cloud Street Cafe Kodaikanal,Kodaikanal,Tamil Nadu,PT Road,Cafe,both,4.4,500,comfort,"Pasta,Sandwiches,Smoothies"
33,Silver Inn Restaurant Kodaikanal,Kodaikanal,Tamil Nadu,Anna Salai,South Indian,veg,4.2,200,budget,"Dosa,Idli,Poori"
34,Eco Nut Restaurant Kodaikanal,Kodaikanal,Tamil Nadu,Law's Ghat Road,Healthy/Vegan,veg,4.5,400,comfort,"Salads,Wraps,Juices"
35,Le Cafe Pondicherry,Pondicherry,Tamil Nadu,Beach Road,French/Cafe,both,4.6,600,comfort,"Croissant,Quiche,Coffee"
36,Villa Shanti Pondicherry,Pondicherry,Tamil Nadu,Suffren Street,Multi-cuisine,both,4.7,1200,luxury,"Crab,Seafood,French Cuisine"
37,Surguru Restaurant Pondicherry,Pondicherry,Tamil Nadu,MG Road,South Indian,veg,4.5,250,budget,"Meals,Dosa,Filter Coffee"
38,Satsanga Restaurant Pondicherry,Pondicherry,Tamil Nadu,La Bourdonnais Street,French/Mediterranean,both,4.6,1000,luxury,"Bouillabaisse,Crepes,Wine"
39,Rendezvous Pondicherry,Pondicherry,Tamil Nadu,Suffren Street,Continental,both,4.4,800,comfort,"Pasta,Pizza,Salads"
40,Cafe des Arts Pondicherry,Pondicherry,Tamil Nadu,Rue Suffren,French Cafe,veg,4.5,500,comfort,"Croissant,Crepe,Cappuccino"
41,Sathars Restaurant Thanjavur,Thanjavur,Tamil Nadu,MK Road,Biryani,non-veg,4.5,280,budget,Thalappakatti Biryani
42,Ideal River View Restaurant,Thanjavur,Tamil Nadu,Grand Anicut,Multi-cuisine,both,4.4,700,comfort,"South Indian,Tandoori,Buffet"
43,Bombay Ananda Bhavan Thanjavur,Thanjavur,Tamil Nadu,Big Temple Road,South Indian,veg,4.3,180,budget,"Tiffin,Meals,Sweets"
